"spkid","pha","H","e","a","q","i","moid","class","om","ad","per_y","epoch"
20348306,Y,21.55,0.5702,0.8728,0.375,5.88,0.0358,ATE,117.49,1.37,0.815,2460200.5
20348314,Y,18.01,0.2781,1.19,0.859,30.12,0.0448,APO,292.45,1.52,1.3,2460200.5
20348400,Y,17.35,0.5355,2.225,1.034,10.85,0.0469,AMO,132.20,3.42,3.32,2460200.5
20348461,N,17.09,0.8555,2.27,0.328,47.99,0.492,APO,18.34,4.21,3.42,2460200.5
20348595,N,18.99,0.1516,1.449,1.230,29.13,0.287,AMO,83.17,1.67,1.74,2460200.5
20348776,N,19.26,0.2087,1.285,1.017,21.37,0.096,APO,95.66,1.55,1.46,2460200.5
20349063,N,17.45,0.5474,2.198,0.995,10.32,0.0914,APO,252.74,3.40,3.26,2460200.5
20349068,Y,18.34,0.4259,1.323,0.759,38.24,0.0379,APO,116.70,1.89,1.52,2460200.5
20349074,N,18.43,0.7208,1.341,0.375,27.64,0.407,APO,87.63,2.31,1.55,2460200.5
20349219,N,18.14,0.4937,1.734,0.878,32.21,0.11,APO,292.22,2.59,2.28,2460200.5
20349507,Y,18.54,0.5815,1.168,0.489,13.58,0.0306,APO,1.94,1.85,1.26,2460200.5
20349925,N,17.38,0.6977,2.171,0.656,12.02,0.199,APO,203.05,3.69,3.2,2460200.5
20349928,N,18.47,0.7764,1.934,0.432,10.98,0.158,APO,294.53,3.43,2.69,2460200.5
20350462,N,22.10,0.1171,1.159,1.023,5.51,0.0958,AMO,207.83,1.29,1.25,2460200.5
20350513,N,18.05,0.5603,2.667,1.173,12.49,0.281,AMO,147.03,4.16,4.36,2460200.5
20350523,Y,21.16,0.2026,1.117,0.891,3.56,0.0435,APO,203.83,1.34,1.18,2460200.5
20350536,N,20.02,0.1638,1.427,1.193,25.20,0.276,AMO,341.97,1.66,1.7,2460200.5
20350713,N,20.75,0.1947,1.347,1.085,6.75,0.138,AMO,97.79,1.61,1.56,2460200.5
20350751,Y,20.83,0.2567,1.072,0.797,0.57,0.00488,APO,161.80,1.35,1.11,2460200.5
20350964,N,18.79,0.1713,1.395,1.156,57.26,0.213,AMO,122.56,1.63,1.65,2460200.5
20350988,N,16.85,0.4760,1.821,0.954,49.44,0.325,APO,183.18,2.69,2.46,2460200.5
20351278,N,18.88,0.4133,1.183,0.694,30.28,0.27,APO,30.90,1.67,1.29,2460200.5
20351331,N,18.96,0.5032,1.381,0.686,22.63,0.274,APO,232.04,2.08,1.62,2460200.5
20351340,N,18.17,0.6175,1.929,0.738,11.40,0.137,APO,334.57,3.12,2.68,2460200.5
20351370,N,17.24,0.8910,2.515,0.274,17.24,0.234,APO,62.40,4.76,3.99,2460200.5
20351508,N,19.77,0.2566,1.734,1.289,7.19,0.32,AMO,100.66,2.18,2.28,2460200.5
20351545,N,19.83,0.3437,1.204,0.791,13.13,0.0559,APO,10.87,1.62,1.32,2460200.5
20351815,N,18.38,0.3545,2.008,1.296,23.19,0.423,AMO,122.49,2.72,2.85,2460200.5
20352102,Y,19.35,0.6566,2.09,0.718,41.97,0.0482,APO,305.41,3.46,3.02,2460200.5
20352143,N,17.22,0.5169,2.624,1.268,10.18,0.317,AMO,266.60,3.98,4.25,2460200.5
20353190,N,19.84,0.3689,1.956,1.234,10.90,0.326,AMO,189.15,2.68,2.74,2460200.5
20353938,N,18.33,0.5590,2.768,1.221,9.45,0.262,AMO,320.13,4.32,4.61,2460200.5
20353947,N,18.79,0.3941,1.25,0.757,44.50,0.193,APO,337.12,1.74,1.4,2460200.5
20354030,N,18.62,0.5395,2.348,1.081,4.18,0.0816,AMO,198.25,3.61,3.6,2460200.5
20354101,N,19.26,0.3395,1.486,0.981,20.02,0.124,APO,279.42,1.99,1.81,2460200.5
20354127,N,19.30,0.3944,1.697,1.028,30.23,0.0553,AMO,347.32,2.37,2.21,2460200.5
20354182,Y,20.79,0.2382,1.145,0.873,8.70,0.0082,APO,0.68,1.42,1.23,2460200.5
20354332,N,18.29,0.3234,1.819,1.231,27.12,0.313,AMO,117.49,2.41,2.45,2460200.5
20354663,N,16.30,0.2397,1.602,1.218,30.00,0.332,AMO,338.42,1.99,2.03,2460200.5
20354713,N,16.84,0.5900,2.623,1.075,24.89,0.276,AMO,12.99,4.17,4.25,2460200.5
20354876,N,18.48,0.5982,1.47,0.591,12.45,0.207,APO,140.91,2.35,1.78,2460200.5
20354952,N,19.23,0.3456,1.749,1.145,4.12,0.149,AMO,166.39,2.35,2.31,2460200.5
20355046,N,19.61,0.2720,1.242,0.904,14.25,0.108,APO,98.31,1.58,1.38,2460200.5
20355256,N,16.79,0.6299,3.346,1.238,12.52,0.279,AMO,232.38,5.45,6.12,2460200.5
20355770,N,18.39,0.2461,1.482,1.117,16.59,0.135,AMO,182.01,1.85,1.8,2460200.5
20356285,N,17.36,0.3964,2.113,1.276,24.00,0.498,AMO,176.85,2.95,3.07,2460200.5
20356394,N,17.46,0.7858,2.009,0.430,10.65,0.0604,APO,120.58,3.59,2.85,2460200.5
20356991,Y,19.08,0.5326,2.104,0.984,8.17,0.00379,APO,298.95,3.22,3.05,2460200.5
20357005,N,17.99,0.7021,2.781,0.829,15.20,0.128,APO,147.20,4.73,4.64,2460200.5
20357022,Y,19.07,0.3296,1.285,0.861,34.51,0.0406,APO,293.26,1.71,1.46,2460200.5
